,Year of Observation,Insurance Period,Residential,Building Painted,Building Fenced,Garden,Settlement,Building Dimension,Building Type,Date Of Occupancy,Number of Windows,Geo Code,Claim
100,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,4101,1,1988,4,5177,0
101,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,800,4,1950,4,6004,0
102,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3100,4,1981,6,6004,0
103,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,320,4,1971,3,6004,0
104,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2490,4,1972,6,6004,1
105,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1670,4,1975,5,6004,0
106,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,900,4,1960,4,6004,0
107,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,460,4,1940,5,6004,0
108,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3500,4,1900,4,6004,0
109,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,14,4,1988,4,6004,0
110,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,9570,4,1960,4,6004,0
111,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1200,4,1997,4,6004,0
112,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,10,4,1988,4,6004,0
113,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,570,4,1988,3,6004,0
114,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3522,4,2003,4,6004,0
115,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,650,4,1990,4,6007,0
116,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,650,4,1990,4,6007,0
117,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,4112,4,1965,7,6011,1
118,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,4112,4,1960,5,6011,0
119,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1470,4,1970,6,6011,0
120,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,600,4,1960,4,6012,0
121,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,600,4,1960,4,6012,1
122,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,380,4,1960,4,6012,0
123,2013,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,460,4,1960,4,6012,0
124,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,5419,4,1988,4,6012,1
125,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,5419,4,1988,4,6012,1
126,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2800,4,1940,8,6012,1
127,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2800,4,1940,8,6012,0
128,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2800,4,1940,8,6012,0
129,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,450,4,1920,4,6012,0
130,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1380,4,1960,5,6012,0
131,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,428,4,1930,4,6012,0
132,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1000,4,1940,6,6012,0
133,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1100,4,1920,7,6012,0
134,2015,0 - 5 Months,1,Not Painted,Fenced,No Garden,Rural area,520,4,1973,5,6012,0
135,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,300,4,1920,3,6012,1
136,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,300,4,1920,3,6012,0
137,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,300,4,1920,3,6012,0
138,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,3250,4,1991,8,6012,1
139,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1000,4,1974,5,6012,0
140,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,660,4,1920,5,6012,1
141,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,300,4,1920,4,6012,0
142,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,550,4,1930,5,6012,0
143,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,550,4,1930,5,6012,1
144,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1255,4,1920,5,6012,1
145,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1255,4,1920,5,6012,0
146,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5610,4,1920,5,6012,1
147,2015,0 - 5 Months,1,Not Painted,Fenced,No Garden,Rural area,1800,4,1965,6,6012,0
148,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1800,4,1965,6,6012,0
149,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,500,4,1940,4,6012,0
150,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1500,4,1980,4,6012,1
151,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1850,4,1950,4,6012,0
152,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,950,4,1960,4,6012,1
153,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,340,4,1960,4,6012,0
154,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,340,4,1960,4,6012,0
155,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,997,4,1960,4,6012,0
156,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,3336,4,1970,5,6014,0
157,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3270,4,1980,7,6014,1
158,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3270,4,1980,7,6014,0
159,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,300,4,1960,4,6016,0
160,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,2235,4,1960,4,6027,0
161,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1400,4,1980,4,6027,0
162,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,5586,4,1978,5,6027,0
163,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,5586,4,1978,5,6027,0
164,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,800,4,1967,4,6027,1
165,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,300,4,1960,4,6029,0
166,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,4310,4,1960,4,6029,1
167,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2160,4,1980,4,6029,1
168,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,650,4,1960,3,6029,1
169,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,210,4,1927,2,6029,0
170,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,7063,4,1952,7,6029,1
171,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1696,4,2007,5,6029,0
172,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,740,4,1940,4,6029,0
173,2016,0 - 5 Months,1,Not Painted,Fenced,No Garden,Rural area,3300,4,1957,2,6029,0
174,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,350,4,1960,4,6029,0
175,2012,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,400,4,1980,4,6029,0
176,2014,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,1000,4,1960,4,6029,1
177,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,162,4,1960,4,6029,0
178,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,320,4,1960,4,6029,0
179,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,320,4,1960,4,6029,0
180,2015,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,18000,4,1980,4,6029,1
181,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1225,4,1960,4,6029,1
182,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,400,4,1960,4,6030,0
183,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,270,4,1980,4,6030,0
184,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,740,4,1970,4,6030,0
185,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1150,4,1978,3,6030,0
186,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,4200,4,1988,4,6030,1
187,2015,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,100,4,1800,3,6030,0
188,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,900,4,1988,4,6030,0
189,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,9920,4,1980,4,6030,1
190,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2625,4,1980,4,6030,0
191,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5350,4,2007,7,6032,0
192,2014,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,270,4,1960,4,6032,0
193,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3406,4,1988,4,6032,0
194,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3700,4,1985,7,6032,1
195,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3700,4,1985,7,6032,1
196,2012,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,3369,4,2009,3,6032,0
197,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3369,4,2009,3,6032,1
198,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3369,4,2009,3,6032,1
199,2013,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,4846,4,1980,4,6032,0
200,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,7887,4,1980,4,6032,1
201,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1300,4,1980,4,6032,1
202,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1300,4,1980,4,6032,0
203,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,4000,4,1980,4,6033,1
204,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,4000,4,1980,4,6033,0
205,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,171,4,1930,3,6035,1
206,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,171,4,1930,3,6035,0
207,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,570,4,1960,2,6036,0
208,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,65,4,1960,4,6036,0
209,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,367,4,1985,4,6044,0
210,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,200,4,1960,4,6048,1
211,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,400,4,1960,4,6057,1
212,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,400,4,1980,4,6067,0
213,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,400,4,1980,4,6067,0
214,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,400,4,1940,4,6069,0
215,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,400,4,1940,4,6069,0
216,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,400,4,1920,4,6069,0
217,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,6300,4,1977,5,6069,1
218,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,250,4,1890,5,6069,0
219,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,750,4,1900,3,6069,0
220,2013,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,400,4,1960,4,6069,0
221,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,660,4,1949,5,6069,1
222,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1100,4,1978,3,6069,0
223,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,530,4,1949,6,6069,0
224,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3269,4,1975,4,6070,0
225,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3269,4,1975,4,6070,1
226,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3269,4,1975,4,6070,0
227,2013,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,300,4,1960,4,6073,0
228,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,640,4,1951,4,6077,0
229,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,530,4,1980,4,6079,0
230,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,450,4,1960,3,6079,0
231,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3800,4,1960,7,6079,0
232,2014,0 - 5 Months,1,Not Painted,Fenced,No Garden,Rural area,1140,4,1988,3,6079,1
233,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,400,4,1960,5,6083,0
234,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,130,4,1960,4,6083,0
235,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,243,4,1960,4,6083,0
236,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,243,4,1960,4,6083,0
237,2012,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,2106,4,1980,4,6083,1
238,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1842,4,1988,4,6083,0
239,2012,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,2713,4,1980,4,6083,0
240,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,500,4,1950,5,6083,0
241,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,614,4,1980,4,6083,0
242,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1370,4,2008,5,6083,0
243,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1370,4,2008,5,6083,0
244,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,430,4,1960,4,6083,0
245,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1563,4,1980,4,6083,0
246,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,250,4,1960,4,6083,0
247,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1350,4,1980,4,6083,0
248,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,480,4,1960,4,6083,0
249,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,480,4,1960,4,6083,0
250,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1600,4,1960,4,6083,0
251,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,5800,4,1988,4,6083,1
252,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1000,4,1972,6,6083,0
253,2015,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,2000,4,1972,6,6083,0
254,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2880,4,1970,8,6083,1
