,Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
25,H15578,2012,1.0,0,V,N,O,R,5439.0,1,1976.0,>=10,3190,0.0
26,H15579,2014,1.0,0,V,N,O,R,5439.0,1,1976.0,>=10,3190,1.0
27,H7015,2014,1.0,0,V,N,O,R,1100.0,1,1900.0,4,3190,0.0
28,H16003,2016,1.0,0,V,N,O,R,1200.0,1,1940.0,5,3310,0.0
29,H18009,2012,1.0,0,V,N,O,R,552.0,1,1950.0,5,3310,0.0
30,H19316,2014,1.0,0,V,N,O,R,900.0,1,1920.0,5,3310,0.0
31,H12704,2013,1.0,0,V,N,O,R,370.0,2,1982.0,3,4070,1.0
32,H16016,2016,1.0,0,V,N,O,R,1400.0,2,1960.0,3,4070,0.0
33,H13026,2016,0.99726776,1,N,V,V,U,1000.0,2,1960.0,   .,4073,0.0
34,H16387,2012,1.0,0,V,N,O,R,480.0,2,1800.0,4,4088,0.0
35,H13678,2014,0.084931507,0,V,N,O,R,1300.0,2,1970.0,3,4094,0.0
36,H3587,2014,1.0,0,V,N,O,R,2900.0,2,1980.0,4,4094,1.0
37,H14189,2014,1.0,0,N,V,V,U,1300.0,2,1988.0,   .,4112,0.0
38,H14499,2013,1.0,0,N,V,V,U,1300.0,2,1988.0,   .,4112,0.0
39,H14500,2015,1.0,0,N,V,V,U,1300.0,2,1988.0,   .,4112,0.0
40,H4286,2012,1.0,0,N,V,V,U,1592.0,2,1980.0,   .,4126,0.0
41,H4287,2013,1.0,0,N,V,V,U,1592.0,2,1980.0,   .,4126,0.0
42,H15998,2014,1.0,0,V,N,O,R,450.0,2,1980.0,4,4166,0.0
43,H3780,2016,1.0,0,N,V,V,U,480.0,2,,   .,4176,0.0
44,H16404,2015,1.0,1,V,N,O,R,487.0,2,1980.0,3,4197,0.0
45,H15609,2015,1.0,0,V,N,O,R,1550.0,1,1972.0,4,5004,1.0
46,H15610,2016,0.99726776,0,V,N,O,R,1550.0,1,1972.0,4,5004,0.0
47,H17251,2014,1.0,1,V,N,O,R,650.0,1,2010.0,2,5004,1.0
48,H17252,2015,1.0,1,V,N,O,R,650.0,1,2010.0,2,5004,0.0
49,H13147,2014,1.0,0,V,N,O,R,2600.0,1,1971.0,6,5023,1.0
50,H13148,2013,1.0,0,N,V,V,U,1314.0,1,1988.0,   .,5023,1.0
51,H3595,2013,1.0,0,V,V,V,U,2960.0,1,1988.0,   .,5023,0.0
52,H3596,2015,1.0,0,V,V,V,U,2960.0,1,1988.0,   .,5023,0.0
53,H3649,2015,1.0,0,V,V,V,U,1386.0,1,1988.0,   .,5023,0.0
54,H3695,2012,1.0,0,V,V,V,U,1100.0,1,1988.0,   .,5023,0.0
55,H3696,2013,1.0,0,V,V,V,U,1100.0,1,1988.0,   .,5023,1.0
56,H3792,2014,1.0,0,V,N,O,R,680.0,1,1995.0,3,5023,0.0
57,H3850,2015,0.857534247,0,V,V,V,U,3325.0,1,1988.0,   .,5023,0.0
58,H4018,2013,1.0,0,V,V,V,U,1254.0,1,1960.0,   .,5023,1.0
59,H4101,2012,1.0,0,V,V,V,U,1000.0,1,1988.0,   .,5023,0.0
60,H4651,2015,1.0,0,V,V,V,U,1842.0,1,1988.0,   .,5023,0.0
61,H3481,2015,0.295890411,0,V,V,V,U,300.0,1,1980.0,   .,5026,0.0
62,H6729,2013,1.0,0,V,V,V,U,1113.0,1,1988.0,   .,5026,0.0
63,H17837,2013,1.0,0,V,N,O,R,310.0,1,1900.0,3,5052,0.0
64,H4081,2016,0.99726776,0,N,V,V,U,736.0,1,1960.0,   .,5052,0.0
65,H12871,2013,1.0,0,V,N,O,R,2050.0,1,2007.0,5,5061,0.0
66,H12872,2014,1.0,0,V,N,O,R,2050.0,1,2007.0,5,5061,0.0
67,H18579,2013,1.0,1,V,N,O,R,1262.0,1,2006.0,3,5061,0.0
68,H2417,2012,1.0,0,V,V,V,U,470.0,1,1960.0,   .,5061,0.0
69,H2586,2014,1.0,0,V,V,V,U,2400.0,1,1980.0,   .,5061,0.0
70,H2695,2012,1.0,0,V,N,O,R,6510.0,1,1988.0,7,5061,1.0
71,H5910,2014,1.0,0,V,V,V,U,320.0,1,1960.0,   .,5061,0.0
72,H6242,2012,1.0,0,V,N,O,R,425.0,1,1980.0,3,5061,0.0
73,H3500,2012,1.0,0,V,V,V,U,1500.0,1,1988.0,   .,5065,0.0
74,H3579,2013,1.0,0,V,V,V,U,900.0,1,1988.0,   .,5077,0.0
75,H6838,2012,1.0,0,N,V,V,U,600.0,1,1988.0,   .,5077,0.0
76,H13522,2016,0.99726776,0,N,V,V,U,2000.0,1,1988.0,   .,5085,0.0
77,H13523,2012,1.0,0,N,V,V,U,1000.0,1,1988.0,   .,5085,0.0
78,H13524,2013,1.0,0,N,V,V,U,1000.0,1,1988.0,   .,5085,0.0
79,H13525,2016,0.99726776,0,N,V,V,U,1000.0,1,1988.0,   .,5085,0.0
80,H5464,2016,1.0,0,V,V,V,U,1650.0,1,1980.0,   .,5110,0.0
81,H5486,2012,1.0,0,V,V,V,U,850.0,1,1980.0,   .,5110,0.0
82,H5487,2015,1.0,0,V,V,V,U,850.0,1,1980.0,   .,5110,0.0
83,H6145,2016,0.99726776,0,V,V,V,U,2600.0,1,1988.0,   .,5110,0.0
84,H6146,2013,1.0,0,N,V,V,U,3500.0,1,1988.0,   .,5110,1.0
85,H7181,2014,1.0,0,N,V,V,U,260.0,1,1988.0,   .,5110,0.0
86,H15714,2015,1.0,0,V,N,O,R,530.0,1,1999.0,4,5133,0.0
87,H18066,2013,1.0,0,V,N,O,R,4700.0,1,1969.0,5,5133,1.0
88,H14149,2015,1.0,1,N,V,V,U,838.0,1,1960.0,   .,5145,0.0
89,H12996,2013,1.0,0,N,V,V,U,1728.0,1,1988.0,   .,5161,0.0
90,H2418,2013,1.0,0,V,V,V,U,1024.0,1,1960.0,   .,5168,0.0
91,H2507,2015,1.0,0,V,N,O,R,1440.0,1,1985.0,5,5177,0.0
92,H2593,2012,1.0,0,V,V,V,U,300.0,1,1980.0,   .,5177,0.0
93,H2638,2012,0.0,0,V,V,V,U,1700.0,1,1980.0,   .,5177,0.0
94,H2639,2016,0.0,0,V,V,V,U,1700.0,1,1980.0,   .,5177,0.0
95,H2640,2015,1.0,0,V,N,O,R,3688.0,1,1980.0,>=10,5177,1.0
96,H2641,2013,1.0,0,V,N,O,R,900.0,1,1970.0,5,5177,0.0
97,H3254,2013,1.0,0,V,V,V,U,3000.0,1,1980.0,   .,5177,0.0
98,H3588,2013,1.0,0,V,N,O,R,1170.0,1,1972.0,5,5177,0.0
99,H3728,2016,0.99726776,0,V,N,O,R,2976.0,1,1965.0,9,5177,0.0
100,H5256,2013,1.0,0,V,V,V,U,4101.0,1,1988.0,   .,5177,0.0
101,H15558,2014,1.0,0,V,N,O,R,800.0,4,1950.0,4,6004,0.0
102,H18719,2016,0.99726776,0,V,N,O,R,3100.0,4,1981.0,6,6004,0.0
103,H19593,2016,0.99726776,0,V,N,O,R,320.0,4,1971.0,3,6004,0.0
104,H19784,2016,0.781420765,0,V,N,O,R,2490.0,4,1972.0,6,6004,1.0
105,H19813,2016,0.99726776,0,V,N,O,R,1670.0,4,1975.0,5,6004,0.0
106,H3038,2013,1.0,0,V,V,V,U,900.0,4,,   .,6004,0.0
107,H3509,2012,1.0,0,V,N,O,R,460.0,4,1940.0,5,6004,0.0
108,H4447,2016,0.99726776,0,V,N,O,R,3500.0,4,1900.0,4,6004,0.0
109,H4555,2014,1.0,0,N,V,V,U,14.0,4,1988.0,   .,6004,0.0
110,H5180,2014,0.915068493,0,N,V,V,U,9570.0,4,,   .,6004,0.0
111,H5512,2012,1.0,0,V,N,O,R,1200.0,4,1997.0,4,6004,0.0
112,H6126,2013,1.0,0,N,V,V,U,10.0,4,1988.0,   .,6004,0.0
113,H6575,2012,1.0,0,V,N,O,R,570.0,4,1988.0,3,6004,0.0
114,H6634,2016,0.99726776,0,V,N,O,R,3522.0,4,2003.0,4,6004,0.0
115,H6164,2013,1.0,0,V,N,O,R,650.0,4,1990.0,4,6007,0.0
116,H6165,2015,0.98630137,0,V,N,O,R,650.0,4,1990.0,4,6007,0.0
117,H1503,2013,1.0,1,V,N,O,R,4112.0,4,1965.0,7,6011,1.0
118,H18935,2014,1.0,0,V,N,O,R,4112.0,4,1960.0,5,6011,0.0
119,H19802,2016,0.99726776,0,V,N,O,R,1470.0,4,1970.0,6,6011,0.0
120,H13368,2015,1.0,0,N,V,V,U,600.0,4,1960.0,   .,6012,0.0
121,H13369,2016,0.99726776,0,N,V,V,U,600.0,4,1960.0,   .,6012,1.0
122,H13370,2013,1.0,1,N,V,V,U,380.0,4,1960.0,   .,6012,0.0
123,H13715,2013,0.084931507,0,N,V,V,U,460.0,4,1960.0,   .,6012,0.0
124,H14484,2012,1.0,0,N,V,V,U,5419.0,4,1988.0,   .,6012,1.0
125,H14485,2016,1.0,0,N,V,V,U,5419.0,4,1988.0,   .,6012,1.0
126,H14550,2012,1.0,1,V,N,O,R,2800.0,4,1940.0,8,6012,1.0
127,H14551,2015,1.0,1,V,N,O,R,2800.0,4,1940.0,8,6012,0.0
128,H14552,2016,0.99726776,1,V,N,O,R,2800.0,4,1940.0,8,6012,0.0
129,H15515,2012,1.0,1,V,N,O,R,450.0,4,1920.0,4,6012,0.0
130,H15630,2014,1.0,1,V,N,O,R,1380.0,4,1960.0,5,6012,0.0
131,H15772,2012,1.0,0,V,N,O,R,428.0,4,1930.0,4,6012,0.0
132,H1584,2015,1.0,1,V,N,O,R,1000.0,4,1940.0,6,6012,0.0
133,H15935,2012,1.0,1,V,N,O,R,1100.0,4,1920.0,7,6012,0.0
134,H16002,2015,0.161643836,1,V,N,O,R,520.0,4,1973.0,5,6012,0.0
135,H1622,2013,1.0,1,V,N,O,R,300.0,4,1920.0,3,6012,1.0
136,H1624,2015,1.0,1,V,N,O,R,300.0,4,1920.0,3,6012,0.0
137,H1625,2016,1.0,1,V,N,O,R,300.0,4,1920.0,3,6012,0.0
138,H16624,2012,1.0,1,V,N,O,R,3250.0,4,1991.0,8,6012,1.0
139,H16715,2013,1.0,1,V,N,O,R,1000.0,4,1974.0,5,6012,0.0
140,H16977,2012,1.0,1,V,N,O,R,660.0,4,1920.0,5,6012,1.0
141,H17859,2015,1.0,1,V,N,O,R,300.0,4,1920.0,4,6012,0.0
142,H18015,2012,1.0,1,V,N,O,R,550.0,4,1930.0,5,6012,0.0
143,H18016,2014,1.0,1,V,N,O,R,550.0,4,1930.0,5,6012,1.0
144,H19140,2014,1.0,0,V,N,O,R,1255.0,4,1920.0,5,6012,1.0
145,H19141,2015,0.997260274,0,V,N,O,R,1255.0,4,1920.0,5,6012,0.0
146,H19368,2014,1.0,0,V,N,O,R,5610.0,4,1920.0,5,6012,1.0
147,H19788,2015,0.095890411,1,V,N,O,R,1800.0,4,1965.0,6,6012,0.0
148,H19789,2016,0.99726776,1,V,N,O,R,1800.0,4,1965.0,6,6012,0.0
149,H5129,2013,1.0,1,V,N,O,R,500.0,4,1940.0,4,6012,0.0
150,H5348,2014,1.0,0,N,V,V,U,1500.0,4,1980.0,   .,6012,1.0
151,H6163,2013,1.0,0,V,N,O,R,1850.0,4,1950.0,4,6012,0.0
152,H7159,2015,1.0,1,N,V,V,U,950.0,4,1960.0,   .,6012,1.0
153,H7183,2012,1.0,1,N,V,V,U,340.0,4,1960.0,   .,6012,0.0
154,H7184,2015,1.0,1,N,V,V,U,340.0,4,1960.0,   .,6012,0.0
155,H7279,2015,0.997260274,0,V,N,O,R,997.0,4,1960.0,4,6012,0.0
156,H16150,2013,1.0,1,V,N,O,R,3336.0,4,1970.0,5,6014,0.0
157,H17519,2013,1.0,0,V,N,O,R,3270.0,4,1980.0,7,6014,1.0
158,H17520,2015,1.0,0,V,N,O,R,3270.0,4,1980.0,7,6014,0.0
159,H6536,2013,0.665753425,0,N,V,V,U,300.0,4,1960.0,   .,6016,0.0
160,H13427,2012,1.0,1,N,V,V,U,2235.0,4,1960.0,   .,6027,0.0
161,H14436,2012,1.0,0,N,V,V,U,1400.0,4,1980.0,   .,6027,0.0
162,H16254,2015,1.0,1,V,N,O,R,5586.0,4,1978.0,5,6027,0.0
163,H16255,2016,1.0,1,V,N,O,R,5586.0,4,1978.0,5,6027,0.0
164,H4560,2014,1.0,0,V,N,O,R,800.0,4,1967.0,4,6027,1.0
165,H12619,2013,0.893150685,0,N,V,V,U,300.0,4,1960.0,   .,6029,0.0
166,H12638,2013,1.0,0,N,V,V,U,4310.0,4,,   .,6029,1.0
167,H12928,2012,1.0,0,N,V,V,U,2160.0,4,1980.0,   .,6029,1.0
168,H15123,2015,1.0,0,V,N,O,R,650.0,4,1960.0,3,6029,1.0
169,H16926,2012,1.0,0,V,N,O,R,210.0,4,1927.0,2,6029,0.0
170,H17036,2012,1.0,0,V,N,O,R,7063.0,4,1952.0,7,6029,1.0
171,H17184,2013,1.0,0,V,N,O,R,1696.0,4,2007.0,5,6029,0.0
172,H17876,2015,1.0,0,V,N,O,R,740.0,4,1940.0,4,6029,0.0
173,H19966,2016,0.024590164,1,V,N,O,R,3300.0,4,1957.0,2,6029,0.0
174,H200,2013,1.0,0,V,N,O,R,350.0,4,1960.0,4,6029,0.0
175,H2198,2012,1.0,1,V,V,V,U,400.0,4,1980.0,   .,6029,0.0
176,H2459,2014,0.0,0,V,V,V,U,1000.0,4,,   .,6029,1.0
177,H385,2015,0.893150685,0,V,V,V,U,162.0,4,,   .,6029,0.0
178,H391,2014,1.0,0,N,V,V,U,320.0,4,1960.0,   .,6029,0.0
179,H392,2016,0.99726776,0,N,V,V,U,320.0,4,1960.0,   .,6029,0.0
180,H5724,2015,0.580821918,1,V,V,V,U,18000.0,4,1980.0,   .,6029,1.0
181,H725,2012,1.0,0,V,V,V,U,1225.0,4,1960.0,   .,6029,1.0
182,H14086,2015,1.0,0,N,V,V,U,400.0,4,1960.0,   .,6030,0.0
183,H14735,2013,0.832876712,0,N,V,V,U,270.0,4,1980.0,   .,6030,0.0
184,H16502,2012,1.0,0,V,N,O,R,740.0,4,1970.0,4,6030,0.0
185,H17791,2012,1.0,0,V,N,O,R,1150.0,4,1978.0,3,6030,0.0
186,H18545,2015,1.0,0,V,N,O,R,4200.0,4,1988.0,4,6030,1.0
187,H19770,2015,0.260273973,0,V,N,O,R,100.0,4,1800.0,3,6030,0.0
188,H6135,2013,0.747945205,1,N,V,V,U,900.0,4,1988.0,   .,6030,0.0
189,H6607,2012,1.0,1,N,V,V,U,9920.0,4,1980.0,   .,6030,1.0
190,H6954,2015,1.0,0,V,V,V,U,2625.0,4,1980.0,   .,6030,0.0
191,H13667,2013,1.0,0,V,N,O,R,5350.0,4,2007.0,7,6032,0.0
192,H1374,2014,0.915068493,1,V,V,V,U,270.0,4,1960.0,   .,6032,0.0
193,H14287,2012,1.0,0,N,V,V,U,3406.0,4,1988.0,   .,6032,0.0
194,H15347,2012,1.0,0,V,N,O,R,3700.0,4,1985.0,7,6032,1.0
195,H15348,2015,1.0,0,V,N,O,R,3700.0,4,1985.0,7,6032,1.0
196,H18765,2012,0.418032787,0,V,N,O,R,3369.0,4,2009.0,3,6032,0.0
197,H18766,2013,1.0,0,V,N,O,R,3369.0,4,2009.0,3,6032,1.0
198,H18767,2014,1.0,0,V,N,O,R,3369.0,4,2009.0,3,6032,1.0
199,H4087,2013,0.104109589,0,V,V,V,U,4846.0,4,1980.0,   .,6032,0.0
200,H4475,2014,1.0,0,V,V,V,U,7887.0,4,1980.0,   .,6032,1.0
201,H5184,2013,1.0,0,V,V,V,U,1300.0,4,1980.0,   .,6032,1.0
202,H5185,2014,0.769863014,0,V,V,V,U,1300.0,4,1980.0,   .,6032,0.0
203,H15504,2013,1.0,1,V,N,O,R,4000.0,4,1980.0,4,6033,1.0
204,H15505,2014,1.0,1,V,N,O,R,4000.0,4,1980.0,4,6033,0.0
205,H16260,2013,1.0,0,V,N,O,R,171.0,4,1930.0,3,6035,1.0
206,H16261,2015,1.0,0,V,N,O,R,171.0,4,1930.0,3,6035,0.0
207,H15826,2013,1.0,0,V,N,O,R,570.0,4,1960.0,2,6036,0.0
208,H5245,2014,1.0,0,N,V,V,U,65.0,4,1960.0,   .,6036,0.0
209,H19615,2016,0.99726776,0,V,N,O,R,367.0,4,1985.0,4,6044,0.0
210,H6058,2013,1.0,1,N,V,V,U,200.0,4,1960.0,   .,6048,1.0
211,H13802,2012,1.0,1,N,V,V,U,400.0,4,1960.0,   .,6057,1.0
212,H13713,2013,1.0,0,N,V,V,U,400.0,4,1980.0,   .,6067,0.0
213,H13714,2016,1.0,0,N,V,V,U,400.0,4,1980.0,   .,6067,0.0
214,H14252,2012,1.0,0,V,N,O,R,400.0,4,1940.0,4,6069,0.0
215,H14253,2016,1.0,0,V,N,O,R,400.0,4,1940.0,4,6069,0.0
216,H14592,2012,1.0,0,V,N,O,R,400.0,4,1920.0,4,6069,0.0
217,H15219,2014,1.0,0,V,N,O,R,6300.0,4,1977.0,5,6069,1.0
218,H17277,2012,1.0,0,V,N,O,R,250.0,4,1890.0,5,6069,0.0
219,H18713,2014,1.0,0,V,N,O,R,750.0,4,1900.0,3,6069,0.0
220,H2984,2013,0.024657534,0,V,V,V,U,400.0,4,1960.0,   .,6069,0.0
221,H393,2015,1.0,0,V,N,O,R,660.0,4,1949.0,5,6069,1.0
222,H394,2013,1.0,0,V,N,O,R,1100.0,4,1978.0,3,6069,0.0
223,H396,2013,1.0,0,V,N,O,R,530.0,4,1949.0,6,6069,0.0
224,H15194,2012,1.0,0,V,N,O,R,3269.0,4,1975.0,4,6070,0.0
225,H15195,2014,1.0,0,V,N,O,R,3269.0,4,1975.0,4,6070,1.0
226,H15196,2015,1.0,0,V,N,O,R,3269.0,4,1975.0,4,6070,0.0
227,H3672,2013,0.0,0,N,V,V,U,300.0,4,,   .,6073,0.0
228,H18343,2013,1.0,0,V,N,O,R,640.0,4,1951.0,4,6077,0.0
229,H12817,2015,1.0,0,N,V,V,U,530.0,4,1980.0,   .,6079,0.0
230,H15625,2013,1.0,0,V,N,O,R,450.0,4,1960.0,3,6079,0.0
231,H19106,2013,1.0,0,V,N,O,R,3800.0,4,1960.0,7,6079,0.0
232,H5705,2014,0.476712329,1,V,N,O,R,1140.0,4,1988.0,3,6079,1.0
233,H12668,2013,1.0,0,V,N,O,R,400.0,4,1960.0,5,6083,0.0
234,H13306,2012,1.0,0,N,V,V,U,130.0,4,1960.0,   .,6083,0.0
235,H13348,2012,1.0,0,N,V,V,U,243.0,4,1960.0,   .,6083,0.0
236,H13349,2013,0.865753425,0,N,V,V,U,243.0,4,1960.0,   .,6083,0.0
237,H1335,2012,1.0,1,V,V,V,U,2106.0,4,1980.0,   .,6083,1.0
238,H13398,2013,1.0,1,N,V,V,U,1842.0,4,1988.0,   .,6083,0.0
239,H1367,2012,0.554644809,1,V,V,V,U,2713.0,4,1980.0,   .,6083,0.0
240,H13899,2015,1.0,0,V,N,O,R,500.0,4,1950.0,5,6083,0.0
241,H14023,2012,1.0,0,N,V,V,U,614.0,4,1980.0,   .,6083,0.0
242,H14231,2014,1.0,0,V,N,O,R,1370.0,4,2008.0,5,6083,0.0
243,H14232,2015,1.0,0,V,N,O,R,1370.0,4,2008.0,5,6083,0.0
244,H14574,2015,1.0,0,N,V,V,U,430.0,4,1960.0,   .,6083,0.0
245,H14648,2014,1.0,0,N,V,V,U,1563.0,4,1980.0,   .,6083,0.0
246,H14811,2013,1.0,0,N,V,V,U,250.0,4,1960.0,   .,6083,0.0
247,H14825,2013,0.832876712,0,N,V,V,U,1350.0,4,1980.0,   .,6083,0.0
248,H14855,2014,1.0,0,N,V,V,U,480.0,4,1960.0,   .,6083,0.0
249,H14856,2015,1.0,0,N,V,V,U,480.0,4,1960.0,   .,6083,0.0
250,H14857,2014,1.0,0,N,V,V,U,1600.0,4,1960.0,   .,6083,0.0
251,H14968,2014,1.0,0,N,V,V,U,5800.0,4,1988.0,   .,6083,1.0
252,H14969,2016,0.99726776,0,V,N,O,R,1000.0,4,1972.0,6,6083,0.0
253,H15095,2015,0.084931507,0,V,N,O,R,2000.0,4,1972.0,6,6083,0.0
254,H15590,2016,0.99726776,0,V,N,O,R,2880.0,4,1970.0,8,6083,1.0
255,H15644,2015,1.0,0,V,N,O,R,3343.0,4,1970.0,7,6083,0.0
256,H15869,2014,1.0,0,V,N,O,R,10573.0,4,1972.0,9,6083,0.0
257,H1593,2013,1.0,1,V,V,V,U,1853.0,4,1988.0,   .,6083,0.0
258,H16012,2016,0.163934426,1,V,N,O,R,5939.0,4,1987.0,6,6083,0.0
259,H16176,2016,1.0,0,V,N,O,R,518.0,4,2010.0,4,6083,1.0
260,H16237,2015,1.0,0,V,N,O,R,3120.0,4,2000.0,4,6083,0.0
261,H16238,2016,1.0,0,V,N,O,R,3120.0,4,2000.0,4,6083,1.0
262,H16375,2014,1.0,0,V,N,O,R,450.0,4,1920.0,6,6083,0.0
263,H16930,2014,1.0,0,V,N,O,R,12900.0,4,1970.0,5,6083,0.0
264,H16931,2016,1.0,0,V,N,O,R,12900.0,4,1970.0,5,6083,1.0
265,H17129,2015,1.0,0,V,N,O,R,450.0,4,1960.0,3,6083,0.0
266,H17417,2012,1.0,0,V,N,O,R,1300.0,4,1960.0,5,6083,1.0
267,H17557,2012,1.0,0,V,N,O,R,254.0,4,1900.0,3,6083,1.0
268,H17752,2013,1.0,0,V,N,O,R,1050.0,4,1960.0,4,6083,0.0
269,H18217,2013,1.0,0,V,N,O,R,4500.0,4,2011.0,7,6083,0.0
270,H18220,2014,1.0,0,V,N,O,R,700.0,4,1960.0,3,6083,1.0
271,H18234,2012,0.448087432,1,V,N,O,R,2712.0,4,1970.0,6,6083,0.0
272,H18235,2015,1.0,1,V,N,O,R,2712.0,4,1970.0,6,6083,0.0
273,H18735,2013,1.0,0,V,N,O,R,300.0,4,1920.0,3,6083,0.0
274,H18761,2012,0.50273224,1,V,N,O,R,1120.0,4,2007.0,1,6083,0.0
275,H19039,2014,1.0,0,V,N,O,R,5598.0,4,1980.0,5,6083,1.0
276,H19040,2016,0.99726776,0,V,N,O,R,4500.0,4,1980.0,5,6083,1.0
277,H19857,2016,0.75136612,1,V,N,O,R,2659.0,4,1962.0,6,6083,0.0
278,H19902,2016,0.50273224,1,V,N,O,R,450.0,4,1900.0,2,6083,0.0
279,H19950,2016,0.081967213,1,V,N,O,R,300.0,4,1900.0,3,6083,0.0
280,H3085,2012,1.0,0,V,N,O,R,500.0,4,1930.0,4,6083,0.0
281,H3106,2016,0.99726776,0,V,V,V,U,1619.0,4,1980.0,   .,6083,0.0
282,H3107,2012,1.0,0,V,V,V,U,826.0,4,1980.0,   .,6083,1.0
283,H3108,2016,0.99726776,0,V,V,V,U,826.0,4,1980.0,   .,6083,0.0
284,H3249,2014,1.0,0,V,V,V,U,1365.0,4,1960.0,   .,6083,0.0
285,H3613,2012,1.0,0,V,N,O,R,184.0,4,1960.0,4,6083,0.0
286,H3646,2014,1.0,0,V,N,O,R,970.0,4,1950.0,4,6083,0.0
287,H372,2015,1.0,0,V,V,V,U,686.0,4,1960.0,   .,6083,0.0
288,H3752,2014,1.0,0,V,N,O,R,900.0,4,1956.0,5,6083,0.0
289,H3897,2013,1.0,0,V,N,O,R,3508.0,4,1975.0,7,6083,1.0
290,H3983,2012,1.0,0,V,V,V,U,2900.0,4,1960.0,   .,6083,1.0
291,H3984,2013,1.0,0,V,V,V,U,2900.0,4,1960.0,   .,6083,1.0
292,H4004,2016,0.99726776,0,V,V,V,U,6984.0,4,1980.0,   .,6083,0.0
293,H4034,2013,1.0,0,V,N,O,R,2034.0,4,1970.0,7,6083,0.0
294,H4045,2014,1.0,0,N,V,V,U,7223.0,4,1980.0,   .,6083,0.0
295,H4071,2015,1.0,0,V,V,V,U,9400.0,4,1960.0,   .,6083,1.0
296,H4077,2014,1.0,0,V,V,V,U,4286.0,4,1960.0,   .,6083,1.0
297,H4085,2012,1.0,0,V,V,V,U,1700.0,4,1960.0,   .,6083,0.0
298,H4086,2015,1.0,0,V,V,V,U,1500.0,4,1980.0,   .,6083,1.0
299,H4125,2014,1.0,0,V,N,O,R,8400.0,4,1980.0,8,6083,1.0
300,H4307,2013,1.0,0,N,V,V,U,300.0,4,1980.0,   .,6083,0.0
301,H4428,2012,1.0,0,V,V,V,U,4176.0,4,1988.0,   .,6083,0.0
302,H4429,2013,1.0,0,V,V,V,U,4176.0,4,1988.0,   .,6083,0.0
303,H4474,2013,1.0,0,V,N,O,R,3400.0,4,1960.0,6,6083,1.0
304,H4485,2013,0.997260274,0,V,N,O,R,500.0,4,1960.0,4,6083,1.0
305,H4486,2016,1.0,0,V,N,O,R,500.0,4,1960.0,4,6083,0.0
306,H4488,2013,1.0,0,V,N,O,R,3501.0,4,1980.0,5,6083,0.0
307,H4512,2013,1.0,1,V,V,V,U,1325.0,4,1980.0,   .,6083,0.0
308,H4513,2014,1.0,1,V,V,V,U,1325.0,4,1980.0,   .,6083,1.0
309,H4579,2015,1.0,0,V,N,O,R,9500.0,4,1993.0,5,6083,1.0
310,H4585,2013,1.0,0,V,V,V,U,20.0,4,1988.0,   .,6083,0.0
